Country Name,Year,Renewable_Share,GDP_per_Capita,Electricity_Access,Urban_Population,CO2_Emissions,Energy_Consumption
United Arab Emirates,2010,0.1,85120.1974687752,100.0,5727482.0,26.785591,1102.9705
Argentina,2010,8.8,17847.6110373178,98.8,37569823.0,4.507803,326.28983
Australia,2010,8.2,39504.361082784,100.0,18995744.0,18.292547,27432.29
Austria,2010,31.1,41735.4574798744,100.0,5612241.0,8.607232,4703.3174
Azerbaijan,2010,4.4,14930.4099928423,99.9,4824586.0,3.0118616,5.29326
Belgium,2010,6.2,39839.9772772918,100.0,9258190.0,10.475143,3986.6523
Bangladesh,2010,40.3,2833.69544368864,55.3,42198665.0,0.3550251,57.00167
Bulgaria,2010,14.3,14954.2543206827,93.5,5288958.0,6.4289203,10762.482
Belarus,2010,7.3,15339.0999035972,94.4,7070213.0,6.586985,791.0173
Brazil,2010,46.8,14451.7158388109,98.6,163375657.0,2.2729204,868.3322
Canada,2010,21.4,40103.1114399673,100.0,27548892.0,16.20929,8391.607
Switzerland,2010,20.6,54426.2828092789,100.0,5759812.0,5.754552,220.42615
Chile,2010,27.0,17917.8951217097,99.5,14940316.0,4.1525846,3039.8555
China,2010,12.3,9411.13821903204,99.7,658606042.0,6.370445,15049.661
Colombia,2010,30.6,10841.1279801312,96.8,34354636.0,1.684584,1248.5637
Cyprus,2010,6.5,33502.1640625,100.0,761534.0,7.156974,151.11035
Czechia,2010,10.9,28153.8518610007,100.0,7682934.0,11.225506,20869.69
Germany,2010,11.6,39726.098692395,100.0,65671538.0,10.22758,11086.998
Denmark,2010,21.2,43037.5989192487,100.0,4819008.0,8.866418,8196.313
Algeria,2010,0.3,14201.3659906969,98.9,24290813.0,3.25651,99.6263
Ecuador,2010,11.8,8968.94040838943,97.5,9459198.0,2.41893,7.6939626
Spain,2010,14.4,31804.6746571689,100.0,36569299.0,6.032926,1712.4531
Estonia,2010,25.3,21614.3068307361,100.0,902804.0,14.243671,35167.113
Finland,2010,33.4,38946.228265358,100.0,3742846.0,11.950002,14715.625
France,2010,11.9,35907.5531031574,100.0,50132793.0,5.945996,2178.362
United Kingdom,2010,3.2,36483.5682802621,100.0,50837721.0,8.124634,5631.3057
Greece,2010,11.4,27838.73639086,100.0,8492606.0,8.751197,8225.468
Croatia,2010,29.8,20139.2955371548,100.0,2374619.0,4.8773313,1845.9744
Hungary,2010,13.5,21690.9866477738,100.0,6953071.0,5.2101464,3137.4214
Indonesia,2010,36.0,8353.45684733249,94.2,122788468.0,1.8082032,1744.2554
India,2010,36.2,4206.45986002117,76.3,384288267.0,1.3498628,2692.8796
Ireland,2010,5.3,43212.2040003212,100.0,2822329.0,9.1665125,5066.189
Iraq,2010,1.7,12186.1929623841,98.4,21439401.0,3.671512,0.0
Iceland,2010,76.0,39763.988895791,100.0,297237.0,11.398676,3404.9631
Israel,2010,8.6,29455.9546732511,100.0,6993254.0,9.307533,12256.102
Italy,2010,12.8,34974.1045135807,100.0,40806631.0,7.2413816,2643.2244
